uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
16382345,287866,2011,2011-06-10,120,135,8,1,56,1,11,0,0,0,2,42116,2011-06-11 04:21:16,465668,L,6-2,458537,L,2,1,456,,,
16512909,287922,2011,2011-06-15,111,139,6,1,34,1,63,0,0,0,2,2556,2011-06-16 00:25:56,123660,L,6-2,476451,R,0,0,238,,,
14834945,287204,2011,2011-04-23,133,136,2,1,11,1,16,0,0,0,2,13230,2011-04-24 01:32:30,435559,R,5-11,450306,L,0,0,81,,,
16369864,287860,2011,2011-06-10,121,134,7,1,55,2,2,1,0,0,0,5539,2011-06-11 00:55:39,446263,L,6-4,446290,L,8,1,426,,,
15364948,287431,2011,2011-05-10,135,158,4,1,26,3,34,0,2,1,1,5815,2011-05-11 00:58:15,430583,R,6-0,451788,R,0,6,200,,,
17112695,288181,2011,2011-07-04,121,119,2,1,7,3,12,1,1,0,0,12246,2011-07-05 01:22:46,502517,L,6-1,523989,R,0,0,45,,,
17742092,288453,2011,2011-07-27,145,116,3,0,26,3,57,0,2,1,1,190344,2011-07-27 19:03:44,435041,R,6-1,453286,R,0,2,206,276055.0,,
15329052,287417,2011,2011-05-09,121,115,1,1,1,3,3,2,0,0,0,4051,2011-05-10 00:40:51,408314,L,6-0,468504,R,0,0,5,,,
15200998,287359,2011,2011-05-05,115,109,6,1,46,4,97,0,2,2,1,32255,2011-05-06 03:22:55,456655,L,6-3,453178,R,2,0,362,,,
14592420,287102,2011,2011-04-16,139,142,7,0,54,4,93,2,1,0,1,222119,2011-04-16 22:21:19,425773,L,6-3,435044,R,3,1,422,,,
15105359,287317,2011,2011-05-02,145,110,1,0,6,4,9,0,2,2,1,1715,2011-05-03 00:17:15,493351,R,6-2,425386,R,0,0,41,,,
15036679,287289,2011,2011-04-30,116,114,3,1,15,1,32,0,0,0,0,223623,2011-04-30 22:36:23,276346,R,5-11,502229,R,0,0,103,,,
15014800,287280,2011,2011-04-29,119,135,5,0,40,6,88,2,2,1,2,34655,2011-04-30 03:46:55,461314,R,6-4,453385,L,1,2,340,,444843.0,
14166977,286885,2011,2011-04-01,142,141,8,1,65,1,1,0,0,0,0,15239,2011-04-02 01:52:39,408045,L,6-5,430630,R,3,10,508,,,
15296509,287403,2011,2011-05-08,116,141,3,1,16,2,26,1,0,0,0,174342,2011-05-08 17:43:42,489413,R,6-2,457456,L,0,0,119,,,
15829559,287636,2011,2011-05-25,145,140,5,1,30,1,67,0,0,0,2,191739,2011-05-25 19:17:39,135783,R,6-3,450351,L,0,2,245,,,
15390301,287440,2011,2011-05-11,116,142,8,1,75,5,8,1,2,2,2,201628,2011-05-11 20:16:28,430605,R,6-0,448165,R,7,6,637,,,
15351740,287425,2011,2011-05-10,142,116,6,0,51,4,4,2,1,1,0,30006,2011-05-11 03:00:06,430585,L,6-0,346801,L,6,1,420,,,
15759397,287607,2011,2011-05-22,110,120,4,0,31,2,58,1,0,0,0,185423,2011-05-22 18:54:23,455976,L,6-1,519455,R,1,0,260,,,
15793347,287621,2011,2011-05-24,140,145,1,0,8,6,15,2,2,2,1,2131,2011-05-25 00:21:31,276545,R,6-1,408241,R,1,1,58,285078.0,,
17527117,288359,2011,2011-07-20,114,142,8,1,59,2,2,1,0,0,1,191850,2011-07-20 19:18:50,467793,L,5-11,448165,R,3,4,485,,452678.0,
15068271,287302,2011,2011-05-01,145,110,6,0,51,5,94,3,1,0,2,200016,2011-05-01 20:00:16,135783,R,6-3,502154,L,6,1,393,425567.0,,
16901289,288088,2011,2011-06-28,143,111,5,0,32,3,62,1,1,0,0,2650,2011-06-29 00:26:50,502126,L,6-5,277417,R,0,2,238,,,
15893527,287662,2011,2011-05-27,114,139,2,1,9,8,27,3,2,2,0,233200,2011-05-27 23:32:00,453181,R,6-2,456034,L,0,0,80,,,
17605457,288395,2011,2011-07-23,109,115,1,0,5,4,6,2,1,1,0,1612,2011-07-24 00:16:12,467827,L,5-11,434628,R,0,0,32,217100.0,,
16491182,287913,2011,2011-06-14,158,112,2,1,11,1,22,0,0,0,2,2637,2011-06-15 00:26:37,435358,R,5-10,448694,R,0,0,73,,,
15802176,287624,2011,2011-05-24,118,110,5,1,33,2,60,0,1,0,0,2255,2011-05-25 00:22:55,430910,R,5-9,502154,L,2,0,255,,,
15423473,287455,2011,2011-05-12,138,112,9,1,79,2,11,1,0,0,2,210430,2011-05-12 21:04:30,445055,L,5-11,461791,R,9,1,603,,,
14732608,287159,2011,2011-04-20,121,117,5,0,42,2,71,0,1,0,0,4215,2011-04-21 00:42:15,489365,L,6-1,502032,R,3,1,328,,,
14599163,287088,2011,2011-04-16,144,121,6,0,44,3,80,1,1,1,0,11538,2011-04-17 01:15:38,518792,L,6-5,460059,R,0,3,338,,,
15229243,287371,2011,2011-05-06,114,108,6,1,39,2,75,0,1,0,0,33123,2011-05-07 03:31:23,452678,L,6-0,543022,R,1,0,301,,,
17648795,288413,2011,2011-07-24,137,158,1,0,8,1,11,0,0,0,2,201855,2011-07-24 20:18:55,467055,L,5-11,451596,R,1,0,54,,,
17175168,288209,2011,2011-07-06,145,118,7,0,53,2,2,0,1,0,0,201440,2011-07-06 20:14:40,493351,R,6-2,518813,R,4,1,452,150229.0,,
16355818,287855,2011,2011-06-10,143,112,5,0,41,5,84,1,2,2,0,2915,2011-06-11 00:29:15,400284,L,6-1,407296,R,0,3,322,425664.0,,
17682255,288427,2011,2011-07-25,140,142,7,0,76,5,8,3,1,1,1,24917,2011-07-26 02:49:17,462101,R,6-0,488751,R,2,18,636,,,
16407143,287877,2011,2011-06-11,116,136,1,0,9,2,14,1,0,0,2,231941,2011-06-11 23:19:41,543108,L,6-0,501381,R,0,1,69,,400121.0,
15491962,287485,2011,2011-05-14,112,137,1,0,7,10,15,3,2,4,1,232817,2011-05-14 23:28:17,446381,R,5-10,285064,R,1,0,63,,,
17090031,288170,2011,2011-07-03,116,137,2,0,12,2,14,0,1,0,0,173056,2011-07-03 17:30:56,408234,R,6-4,285064,R,0,0,83,,,
17395160,288303,2011,2011-07-16,112,146,1,0,8,2,2,1,0,0,0,172212,2011-07-16 17:22:12,493120,L,6-0,134320,R,3,0,69,,,
14817657,287196,2011,2011-04-23,116,145,4,0,30,5,57,3,1,0,0,211920,2011-04-23 21:19:20,488671,L,5-11,429719,R,0,1,217,,425509.0,430605.0
17350845,288286,2011,2011-07-15,116,145,9,0,78,4,14,2,1,0,1,20436,2011-07-16 02:04:36,430605,R,6-0,349193,L,8,2,625,488671.0,,
15235187,287374,2011,2011-05-06,134,117,5,0,34,1,59,0,0,0,1,1721,2011-05-07 00:17:21,430965,R,6-4,434643,L,1,0,266,,,
17228603,288232,2011,2011-07-08,111,110,1,0,5,2,2,1,0,0,0,231721,2011-07-08 23:17:21,453056,L,6-1,502154,L,0,0,32,,,
16172804,287777,2011,2011-06-04,133,111,4,1,23,3,54,1,1,0,0,180119,2011-06-04 18:01:19,425545,R,6-2,277417,R,0,1,172,,,
17603946,288393,2011,2011-07-23,113,144,7,0,64,1,7,0,0,0,1,224046,2011-07-23 22:40:46,111867,R,6-1,450852,R,2,7,514,430930.0,408252.0,458015.0
14183694,286913,2011,2011-04-02,139,110,8,0,61,2,2,0,1,0,1,13922,2011-04-03 01:39:22,453539,L,5-10,493157,R,3,0,512,450314.0,471107.0,
14361687,286993,2011,2011-04-08,147,111,9,1,78,4,11,2,1,0,2,211043,2011-04-08 21:10:43,407893,L,6-3,449097,R,6,9,639,,,
14203592,286922,2011,2011-04-02,138,135,1,0,5,2,2,0,1,0,0,202110,2011-04-02 20:21:10,444135,R,5-11,453385,L,0,0,45,,,
14302747,286968,2011,2011-04-06,119,115,1,1,3,1,7,0,0,0,1,191326,2011-04-06 19:13:26,444843,L,6-2,434628,R,0,0,14,232694.0,,
15381586,287437,2011,2011-05-11,111,141,8,1,67,1,10,0,0,0,2,13827,2011-05-12 01:38:27,408236,L,6-2,400010,R,3,9,551,,,
17039627,288147,2011,2011-07-02,146,140,4,1,35,1,48,0,0,0,2,13128,2011-07-03 01:31:28,459991,R,6-1,488984,R,6,2,302,408299.0,,
15963129,287690,2011,2011-05-29,141,145,1,0,12,1,40,0,0,0,1,173421,2011-05-29 17:34:21,434658,R,5-9,433579,L,1,6,110,,,
15862385,287650,2011,2011-05-26,145,141,4,1,22,8,51,3,2,3,0,235237,2011-05-26 23:52:37,435041,R,6-1,453344,R,0,0,158,,,
15085517,287309,2011,2011-05-01,134,115,7,1,68,4,9,1,2,0,2,214753,2011-05-01 21:47:53,449082,L,5-9,434637,R,8,4,593,,,
17244633,288238,2011,2011-07-08,142,145,6,1,60,4,6,2,1,1,2,23050,2011-07-09 02:30:50,502143,R,6-2,430663,R,8,5,504,,,
15103309,287316,2011,2011-05-02,108,111,3,1,17,1,26,0,0,0,0,235530,2011-05-02 23:55:30,425772,R,6-0,453329,R,0,1,142,,,
16873765,288079,2011,2011-06-26,139,117,9,1,84,1,31,0,0,0,1,213856,2011-06-26 21:38:56,450314,L,6-3,453343,R,11,10,729,113028.0,,451584.0
16925140,287500,2011,2011-06-28,137,112,2,1,14,4,36,1,2,1,2,184650,2011-06-28 18:46:50,123173,R,5-9,150277,L,3,0,109,285064.0,,
14749357,287151,2011,2011-04-20,138,120,3,0,32,6,57,3,2,0,2,191838,2011-04-20 19:18:38,204020,R,6-1,458709,L,7,1,275,407812.0,,
16206974,287792,2011,2011-06-05,111,133,6,0,52,2,2,0,1,1,0,193045,2011-06-05 19:30:45,457454,L,6-3,501745,R,3,5,423,,,
15019844,287282,2011,2011-04-29,120,137,8,0,57,1,1,0,0,0,0,10644,2011-04-30 01:06:44,457787,R,6-0,502130,L,0,3,414,,,
17487513,288343,2011,2011-07-19,113,134,9,1,65,1,12,0,0,0,2,14743,2011-07-20 01:47:43,457803,L,6-3,430629,R,0,1,527,452672.0,276520.0,
14412635,287014,2011,2011-04-09,141,108,7,1,61,1,5,0,0,0,2,31848,2011-04-10 03:18:48,501983,L,6-0,538227,L,5,5,488,450317.0,,430832.0
16057816,287730,2011,2011-05-31,139,140,2,0,14,1,20,0,0,0,0,231215,2011-05-31 23:12:15,425834,R,6-3,450351,L,0,0,117,446334.0,,
17423136,288315,2011,2011-07-17,139,111,7,0,46,2,91,0,1,0,2,20908,2011-07-18 02:09:08,425773,L,6-3,277417,R,0,0,347,,,
15230594,287372,2011,2011-05-06,115,137,3,1,19,5,40,2,2,1,1,30802,2011-05-07 03:08:02,451594,L,6-4,430912,R,1,0,152,,455104.0,
17181683,288212,2011,2011-07-06,143,146,3,1,19,5,42,1,2,1,2,234431,2011-07-06 23:44:31,400284,L,6-1,434671,R,2,0,138,,,
14732642,287159,2011,2011-04-20,121,117,6,0,53,2,99,1,0,0,2,10137,2011-04-21 01:01:37,408314,L,6-0,502032,R,3,3,402,,,
15923063,287675,2011,2011-05-28,145,141,11,1,91,5,21,2,2,1,1,203106,2011-05-28 20:31:06,493351,R,6-2,430630,R,8,8,730,,,543569.0
15524371,287502,2011,2011-05-15,142,141,1,0,7,3,3,2,0,0,0,182503,2011-05-15 18:25:03,452655,L,6-0,453344,R,2,0,55,,,
17188635,288215,2011,2011-07-06,142,139,5,0,48,2,74,0,1,0,1,185128,2011-07-06 18:51:28,150212,R,6-2,451584,R,5,2,393,458210.0,457292.0,
16964847,288115,2011,2011-06-29,117,140,6,0,42,2,54,0,1,0,1,12957,2011-06-30 01:29:57,408206,R,6-4,407890,R,3,0,295,,,
15932008,287678,2011,2011-05-28,119,146,2,0,15,6,26,3,2,1,1,24857,2011-05-29 02:48:57,543742,R,6-4,430083,R,2,0,121,,,
16411881,287879,2011,2011-06-11,139,110,6,1,48,3,89,1,1,0,0,4427,2011-06-12 00:44:27,448605,R,6-1,425386,R,3,2,370,,,
16050361,287727,2011,2011-05-31,121,134,2,0,14,3,25,0,2,1,0,233604,2011-05-31 23:36:04,489365,L,6-1,457428,R,0,1,106,452783.0,,
15285035,287397,2011,2011-05-08,135,109,1,0,9,1,25,0,0,0,1,203201,2011-05-08 20:32:01,408305,R,6-3,434578,L,0,1,97,452104.0,,430583.0
17012012,288136,2011,2011-07-01,147,121,1,1,7,2,26,1,0,0,2,232113,2011-07-01 23:21:13,116662,R,6-1,477003,L,3,0,56,,429664.0,
14848195,287209,2011,2011-04-24,137,144,2,0,14,4,26,2,1,0,1,203451,2011-04-24 20:34:51,467055,L,5-11,545404,R,2,0,119,,,
17772182,288466,2011,2011-07-28,158,112,8,0,65,5,12,2,2,1,1,204818,2011-07-28 20:48:18,425902,L,5-11,502188,R,2,4,519,,,
14574687,287092,2011,2011-04-15,137,109,1,1,7,1,26,0,0,0,2,15037,2011-04-16 01:50:37,474832,L,6-5,543339,R,3,0,53,150100.0,,
14517173,287065,2011,2011-04-13,133,145,9,1,72,6,12,3,2,0,0,204039,2011-04-13 20:40:39,435559,R,5-11,430884,R,2,4,597,435558.0,424825.0,425545.0
15115772,287322,2011,2011-05-02,147,116,6,1,45,3,106,2,0,0,0,5237,2011-05-03 00:52:37,120691,L,6-2,434378,R,3,2,373,,,
14377000,287000,2011,2011-04-08,120,121,1,1,2,5,6,3,1,0,1,201133,2011-04-08 20:11:33,150029,R,6-5,285079,R,0,0,11,,,
17554801,288371,2011,2011-07-21,116,142,4,1,23,3,59,2,0,0,1,10459,2011-07-22 01:04:59,408234,R,6-4,134321,R,0,0,178,,453269.0,
16764839,288031,2011,2011-06-22,141,144,7,1,51,3,15,0,2,1,1,190125,2011-06-22 19:01:25,429665,R,6-1,276530,R,1,4,400,450317.0,,
16583680,287952,2011,2011-06-17,117,119,4,1,27,2,51,1,0,0,1,25655,2011-06-18 02:56:55,477165,L,6-2,150404,L,1,1,183,,453400.0,
16592811,287957,2011,2011-06-17,114,134,5,0,35,4,71,2,1,1,1,2222,2011-06-18 00:22:22,435219,L,6-2,429781,R,0,2,261,,,
16679927,287994,2011,2011-06-20,112,145,4,1,28,5,64,2,2,0,1,10834,2011-06-21 01:08:34,150289,L,6-2,425856,R,2,3,229,,,
16394323,287871,2011,2011-06-11,113,137,2,1,7,1,13,0,0,0,0,202612,2011-06-11 20:26:12,457803,L,6-3,453311,R,0,0,47,,,
16248188,287809,2011,2011-06-07,134,109,3,0,21,3,33,2,0,0,0,234631,2011-06-07 23:46:31,467798,R,5-11,543339,R,1,2,160,,,
14545928,287078,2011,2011-04-14,117,135,5,0,33,3,51,0,2,1,0,12624,2011-04-15 01:26:24,477165,L,6-2,400291,R,0,0,269,150324.0,,
14929149,287243,2011,2011-04-26,138,117,4,1,24,1,53,0,0,0,1,10109,2011-04-27 01:01:09,204020,L,6-1,502032,R,0,0,186,,,
16848169,288068,2011,2011-06-26,116,109,8,0,64,2,2,1,0,0,2,195913,2011-06-26 19:59:13,120044,R,6-0,456696,R,2,1,501,489413.0,430603.0,
17368372,288294,2011,2011-07-15,134,117,2,1,11,2,32,1,0,0,2,2724,2011-07-16 00:27:24,502374,R,5-10,408206,R,1,0,86,,,
14353716,286990,2011,2011-04-08,117,146,8,0,63,1,94,0,0,0,0,11820,2011-04-09 01:18:20,456422,L,5-10,445060,R,3,2,447,,,
15147430,287337,2011,2011-05-03,121,137,5,0,44,1,1,0,0,0,0,4215,2011-05-04 00:42:15,136860,R,6-1,502130,L,5,5,349,,,
14956957,287257,2011,2011-04-27,137,134,3,1,22,6,46,3,2,0,2,234502,2011-04-27 23:45:02,457763,R,6-1,457428,R,0,1,164,400023.0,,
17336813,288281,2011,2011-07-14,141,147,2,0,20,4,12,2,1,0,0,235316,2011-07-14 23:53:16,431094,R,5-11,425646,R,0,7,179,,452252.0,
14247010,286942,2011,2011-04-04,116,110,3,1,16,5,37,3,1,0,0,194154,2011-04-04 19:41:54,488671,L,5-11,453562,R,0,0,123,,,
15030870,287287,2011,2011-04-30,145,110,6,0,44,3,83,2,0,0,0,4136,2011-05-01 00:41:36,435041,R,6-1,501957,R,2,0,341,493351.0,,
